2020-01-07 09:28:43,793 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-01-07 09:28:45,869 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://192.168.154.128:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=2372&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D2372%26register.ip%3D192.168.131.2%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1578360525504&timestamp=1578360525544, dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:28:45,897 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:28:45,902 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.131.2?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:28:45,964 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.131.2/com.wkcto.dubbo.service.OrderService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.wkcto.dubbo.service.OrderService&version=*, dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:28:46,000 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.131.2/com.wkcto.dubbo.service.OrderService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.wkcto.dubbo.service.OrderService&version=*, urls: [dubbo://192.168.131.2:20880/com.wkcto.dubbo.service.OrderService?anyhost=true&application=orderservice-provider&dubbo=2.6.2&generic=false&interface=com.wkcto.dubbo.service.OrderService&methods=addOrder&pid=2724&revision=1.0.0&side=provider&timestamp=1578359842583&version=1.0.0, dubbo://192.168.131.2:20880/com.wkcto.dubbo.service.OrderService2?anyhost=true&application=orderservice-provider&dubbo=2.6.2&generic=false&interface=com.wkcto.dubbo.service.OrderService&methods=addOrder&pid=2724&revision=1.0.0&side=provider&timestamp=1578359843333&version=2.0.0, consumer://192.168.131.2/com.wkcto.dubbo.service.OrderService?application=shop-consumer&category=consumers&check=false&dubbo=2.6.2&interface=com.wkcto.dubbo.service.OrderService&methods=addOrder&pid=5496&revision=1.0.0&side=consumer&timestamp=1578359879015&version=1.0.0, consumer://192.168.131.2/com.wkcto.dubbo.service.OrderService?application=shop-consumer&category=consumers&check=false&dubbo=2.6.2&interface=com.wkcto.dubbo.service.OrderService&methods=addOrder&pid=5496&revision=1.0.0&side=consumer&timestamp=1578359879841&version=2.0.0, empty://192.168.131.2/com.wkcto.dubbo.service.OrderService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.wkcto.dubbo.service.OrderService&version=*, empty://192.168.131.2/com.wkcto.dubbo.service.OrderService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.wkcto.dubbo.service.OrderService&version=*], dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:28:46,006 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.131.2/com.wkcto.dubbo.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.wkcto.dubbo.service.UserService&version=*, dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:28:46,036 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.131.2/com.wkcto.dubbo.service.UserService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.wkcto.dubbo.service.UserService&version=*, urls: [dubbo://192.168.131.2:20881/com.wkcto.dubbo.service.UserService?anyhost=true&application=userservice-provider&dubbo=2.6.2&generic=false&interface=com.wkcto.dubbo.service.UserService&methods=queryAllAddress&pid=6496&revision=1.0.0&side=provider&timestamp=1578359857151&version=1.0.0, consumer://192.168.131.2/com.wkcto.dubbo.service.UserService?application=shop-consumer&category=consumers&check=false&dubbo=2.6.2&interface=com.wkcto.dubbo.service.UserService&methods=queryAllAddress&pid=5496&revision=1.0.0&side=consumer&timestamp=1578359879888&version=1.0.0, empty://192.168.131.2/com.wkcto.dubbo.service.UserService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.wkcto.dubbo.service.UserService&version=*, empty://192.168.131.2/com.wkcto.dubbo.service.UserService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.wkcto.dubbo.service.UserService&version=*], dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:28:47,871 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:29:02,930 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.131.2
2020-01-07 09:29:05,643 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /, dubbo version: 2.6.2, current host: 192.168.131.2
